window,train_period,val_period,test_period,train_r2,test_r2,rmse,mae,n_features,n_train,n_val,n_test
1,1961-07 to 1980-12,1981-01 to 1985-12,1986-01 to 1986-12,0.0043,-0.0442,0.115546,0.087937,20,69382,41455,10363
2,1962-01 to 1981-12,1982-01 to 1986-12,1987-01 to 1987-12,0.0374,-0.0156,0.125909,0.094496,50,75879,45295,11553
3,1963-01 to 1982-12,1983-01 to 1987-12,1988-01 to 1988-12,0.1156,-0.0123,0.098919,0.071388,35,82418,48981,12406
4,1964-01 to 1983-12,1984-01 to 1988-12,1989-01 to 1989-12,0.0394,-0.0031,0.09841,0.070627,30,89067,53019,13048
5,1965-01 to 1984-12,1985-01 to 1989-12,1990-01 to 1990-12,0.0237,-0.0109,0.118679,0.089154,40,96296,56989,13617
6,1966-01 to 1985-12,1986-01 to 1990-12,1991-01 to 1991-12,0.0268,-0.0305,0.118215,0.084844,20,103898,60987,14227
7,1967-01 to 1986-12,1987-01 to 1991-12,1992-01 to 1992-12,0.0011,-0.0032,0.106713,0.07553,20,111671,64851,15449
8,1968-01 to 1987-12,1988-01 to 1992-12,1993-01 to 1993-12,0.0372,-0.0257,0.107725,0.075936,35,120310,68747,16943
9,1969-01 to 1988-12,1989-01 to 1993-12,1994-01 to 1994-12,0.0681,-0.0268,0.100864,0.072651,40,129677,73284,18730
10,1970-01 to 1989-12,1990-01 to 1994-12,1995-01 to 1995-12,0.1028,-0.0124,0.105954,0.073795,45,139494,78966,19857
11,1971-01 to 1990-12,1991-01 to 1995-12,1996-01 to 1996-12,0.0555,-0.0152,0.111958,0.078075,20,149676,85206,21557
12,1972-01 to 1991-12,1992-01 to 1996-12,1997-01 to 1997-12,0.0755,-0.002,0.117407,0.084714,30,160253,92536,23201
13,1973-01 to 1992-12,1993-01 to 1997-12,1998-01 to 1998-12,0.0376,-0.0082,0.141827,0.104938,25,171807,100288,24897
14,1974-01 to 1993-12,1994-01 to 1998-12,1999-01 to 1999-12,0.0255,-0.0066,0.139978,0.10255,35,184034,108242,25977
15,1975-01 to 1994-12,1995-01 to 1999-12,2000-01 to 2000-12,0.0541,-0.0075,0.156318,0.116445,40,198005,115489,27607
16,1976-01 to 1995-12,1996-01 to 2000-12,2001-01 to 2001-12,0.0491,-0.0095,0.139813,0.101286,30,213078,123239,28903
17,1977-01 to 1996-12,1997-01 to 2001-12,2002-01 to 2002-12,0.0185,-0.011,0.131525,0.094505,45,229767,130585,30051
18,1978-01 to 1997-12,1998-01 to 2002-12,2003-01 to 2003-12,0.0748,-0.0994,0.121023,0.083376,30,247961,137435,30738
19,1979-01 to 1998-12,1999-01 to 2003-12,2004-01 to 2004-12,0.0383,-0.0591,0.104151,0.072935,30,267762,143276,31983
20,1980-01 to 1999-12,2000-01 to 2004-12,2005-01 to 2005-12,0.0228,-0.0025,0.100303,0.068744,20,288545,149282,33728
21,1981-01 to 2000-12,2001-01 to 2005-12,2006-01 to 2006-12,0.0417,-0.0129,0.092057,0.061949,45,310887,155403,35831
22,1982-01 to 2001-12,2002-01 to 2006-12,2007-01 to 2007-12,0.0224,-0.0374,0.102455,0.07121,30,333267,162331,39105
23,1983-01 to 2002-12,2003-01 to 2007-12,2008-01 to 2008-12,0.0563,-0.0779,0.154516,0.115739,20,355451,171385,40868
24,1984-01 to 2003-12,2004-01 to 2008-12,2009-01 to 2009-12,0.0497,-0.0236,0.149647,0.105257,35,377821,181515,41319
25,1985-01 to 2004-12,2005-01 to 2009-12,2010-01 to 2010-12,0.0325,-0.0208,0.112454,0.080153,30,400726,190851,43249
26,1986-01 to 2005-12,2006-01 to 2010-12,2011-01 to 2011-12,0.0623,-0.0711,0.115318,0.079939,40,424835,200372,45523
27,1987-01 to 2006-12,2007-01 to 2011-12,2012-01 to 2012-12,0.1118,-0.0444,0.098364,0.065773,45,450303,210064,47466
28,1988-01 to 2007-12,2008-01 to 2012-12,2013-01 to 2013-12,0.038,-0.0182,0.094242,0.063096,45,477855,218425,49097
29,1989-01 to 2008-12,2009-01 to 2013-12,2014-01 to 2014-12,0.0704,-0.0176,0.093945,0.062227,35,506317,226654,52323
30,1990-01 to 2009-12,2010-01 to 2014-12,2015-01 to 2015-12,0.0831,-0.0697,0.109438,0.075487,40,534588,237658,55529
31,1991-01 to 2010-12,2011-01 to 2015-12,2016-01 to 2016-12,0.0764,-0.0649,0.110453,0.072444,25,564220,249938,58133
32,1992-01 to 2011-12,2012-01 to 2016-12,2017-01 to 2017-12,0.0653,-0.0655,0.096566,0.061886,25,595516,262548,61214
33,1993-01 to 2012-12,2013-01 to 2017-12,2018-01 to 2018-12,0.081,-0.0289,0.112889,0.076734,50,627533,276296,65313
34,1994-01 to 2013-12,2014-01 to 2018-12,2019-01 to 2019-12,0.0676,-0.0535,0.110732,0.074371,20,659687,292512,69500
35,1995-01 to 2014-12,2015-01 to 2019-12,2020-01 to 2020-12,0.0971,-0.0012,0.151568,0.106105,30,693280,309689,73804
36,1996-01 to 2015-12,2016-01 to 2020-12,2021-01 to 2021-12,0.1161,-0.0553,0.116899,0.079512,30,728952,327964,83029
37,1997-01 to 2016-12,2017-01 to 2021-12,2022-01 to 2022-12,0.0657,-0.0401,0.14119,0.103237,20,765528,352860,92602
38,1998-01 to 2017-12,2018-01 to 2022-12,2023-01 to 2023-12,0.0606,-0.0315,0.131148,0.091637,20,803541,384248,99011
